Report generated on: 05-03-2026 15:14:49
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","crude oil, NGPL, and other liquids production (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.55-1-WORL-TBPD.A","    World","63092.9","59785.5","57242.9","57123.7","58613.7","58186.9","60769.573","61257.573","63496.754","64633.954","65482.054","65316.436","65405.968","65570.71742191781","67636.84756986302","68963.81239726028","70569.74043442623","72907.07639726027","73868.78136712329","72557.50552876713","74673.9766743989","74860.92680857534","74643.30024931507","78097.85655616438","81296.71975409836","82589.97221369862","83070.31793424657","83281.14583013699","84768.9434125683","83771.79918356164","85221.31471463242","86363.77454206986","88628.48994239945","89178.12374565571","91719.43129431095","94373.42947751096","94811.52459042551","95899.78217231085"
"INTL.55-1-AFG-TBPD.A","        Afghanistan","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-ALB-TBPD.A","        Albania","44","44","64","75","55","55","55","54","44","47","30","19","11","11","10","9","9","7.150391780821918","7.489890410958904","6.4602301369863016","5.716","5.624","7.106","6","7","7","9","10","10","10","13","16","18","21","24","23","19","17"
"INTL.55-1-DZA-TBPD.A","        Algeria","1105.9071038251366","1002.0328767123287","986.6301369863014","961.2602739726027","1014.4403249559011","1036.0712328767124","1072","1071.3205479452056","1045","1105.5863013698631","1180.0684931506848","1170","1201.6120218579235","1310.164383561644","1286.2876712328766","1301.3698630136987","1396.7349726775956","1430.1917808219177","1431.041095890411","1376.958904109589","1435.5874316939892","1507.4794520547946","1623.835616438356","1789.890410958904","1859.1857923497269","1930.5643835616438","1919.0430136986301","1943.1155205479452","1955","1909.876712328767","1880","1862","1874.2431693989072","1761.7808219178082","1720","1797","1697.360655737705","1631.7534246575342"
"INTL.55-1-ASM-TBPD.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-AGO-TBPD.A","        Angola","150","130","122","177.0054794520548","208.02459016393442","231.0000794520548","282.00029863013697","360.00018630136987","452.0081967213115","455.00031780821917","475.0005123287671","500.00022191780823","526.3200464480874","503.9397260273973","491.758904109589","639.3123287671233","691.016393442623","709.786301369863","732.8986301369863","747.8134246575343","745.3879781420765","739.2849315068493","896.6363424657534","879.0602356164384","990.5943306010929","1247.7813616438357","1400.9027863013698","1687.9527698630136","1960.6945081967212","1886.8082191780823","1918.5205479452054","1765.6164383561643","1797.049180327869","1814.6575342465753","1756.6164383561643","1828.86301369863","1797.6147540983607","1709.2265306249114"
"INTL.55-1-ATA-TBPD.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-ATG-TBPD.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-ARG-TBPD.A","        Argentina","504","508","503","499","493","480","465","464","484","487","510","515","583","640.0082191780822","720.551","775.5500356164383","838.7026994535519","892.9643835616438","905.3899808219178","894.8070602739726","862.8231038251366","918.6981753424658","895.3786328767123","889.250202739726","863.0500819672131","806.8936109589041","806.4966301369863","788.0839150684932","793.1062267759563","772.2725890410959","773.9335643835617","728.9765945205479","707.4819180327869","693.2825287671233","701.343405479452","693.9119424657534","694.0283633879782","674.8438116093148"
